tablo,fid,code_id,data_originator,name,lat_dd,lon_dd,mid
dp_other,1284,AP2,EUROCONTROL NMOC,JOJO AP 2,51.13580214,6.44522214,400003246195616
dp_other,1285,AP2,EUROCONTROL NMOC,KIM LONG AP 2,52.70692656,7.61606136,400003246195628
dp_other,1286,AP2,EUROCONTROL NMOC,KIM SHORT AP 2,53.56350739,8.57220783,400003246195640
dp_other,1288,AP2,EUROCONTROL NMOC,ANGIE AP 2,48.13507431,7.77834019,400003246195679
dp_other,1289,AP2,EUROCONTROL NMOC,SAXON AP 2,50.73831894,12.19579914,400003246195685
dp_other,1290,AP2,EUROCONTROL NMOC,VIRGIN AP 2,49.77513222,7.00702383,400003246195706
dp_other,1291,AP2,EUROCONTROL NMOC,JANIN AP 2,53.37806192,12.03993906,400003246195718
dp_other,1292,AP2,EUROCONTROL NMOC,TINA AP 2,53.31841339,12.89562039,400003246195730
dp_other,1293,AP2,EUROCONTROL NMOC,MERLE AP 2,53.61452303,11.50052125,400003246195742
dp_other,1295,AP2,EUROCONTROL NMOC,NELE AP 2,54.59992211,13.0694405,400005111861426
dp_other,1296,AP2,EUROCONTROL NMOC,LUCA AP2,49.18086808,7.98078547,400005509370439
dp_icao,117388,APMAV,EUROCONTROL NMOC,APMAV,-20.383333333333333,34.94166666666666,400002224811735
dp_icao,117389,APMAV,EUROCONTROL NMOC,APMAV,-2.245913888888889,37.32914166666667,400002705535632
dp_icao,1917,APMUX,EUROCONTROL NMOC,APMUX,12.559444444444445,40.52361111111111,400003117326701
dp_icao,117400,APMUX,EUROCONTROL NMOC,APMUX,-24.576552777777778,29.523469444444444,400001126784976
dp_icao,1918,APNEX,EUROCONTROL NMOC,APNEX,1.995538888888889,40.985930555555555,400001834120098
dp_icao,117405,APNEX,EUROCONTROL NMOC,APNEX,-21.309722222222224,27.89472222222222,400000552236011
dp_other,1300,APO,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,APO GOLF COURSE,7.053055555555555,125.52944444444444,400004398487401
dp_other,1301,APO,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,APO ISLAND,9.082777777777778,123.27027777777778,400005267231541
dp_icao,1926,APOLO,EUROCONTROL NMOC,APOLO,35.32203333333334,139.9374388888889,1662244456
dp_icao,33919,APOLO,EUROCONTROL NMOC,APOLO,28.8326,-80.42090277777778,17872912
dp_icao,33933,APPLE,EUROCONTROL NMOC,APPLE,54.5,-2.513952777777778,17834198
dp_icao,33934,APPLE,EUROCONTROL NMOC,APPLE,40.55613611111111,-74.06225277777777,17872918
dp_icao,1938,APRIL,EUROCONTROL NMOC,APRIL,11.001861111111111,99.71852777777778,17853472
dp_icao,33948,APRIL,EUROCONTROL NMOC,APRIL,29.07525,-95.23382777777778,101000746215248
dp_icao,2016,ARAKA,EUROCONTROL NMOC,ARAKA,35.64689722222222,139.84496666666666,400003343953027
dp_icao,117434,ARAKA,EUROCONTROL NMOC,ARAKA,-7.765,29.113333333333333,400002883644953
dp_adhp,5202,ARC01,NAV CANADA,ARC01,45.22382913888889,-75.75958661111112,400002007608576
dp_adhp,5203,ARC01,NAV CANADA,ARC01,53.426330388888886,-113.54411372222222,400002137336742
dp_adhp,5204,ARC01,NAV CANADA,ARC01,49.93867886111111,-97.37370983333332,400002353433833
dp_adhp,5205,ARC01,NAV CANADA,ARC01,47.57839994444445,-52.843238166666666,400002420966585
dp_adhp,5206,ARC01,NAV CANADA,ARC01,49.949571166666665,-100.07153538888889,400002525699060
dp_adhp,5207,ARC01,NAV CANADA,ARC01,50.34517152777778,-104.62609641666666,400002528715356
dp_adhp,5208,ARC01,NAV CANADA,ARC01,52.08201538888889,-106.72299811111111,400002571880239
dp_adhp,5209,ARC01,NAV CANADA,ARC01,49.28435019444444,-57.366180194444446,400002701041122
dp_adhp,5210,ARC01,NAV CANADA,ARC01,46.75258083333333,-71.46285933333334,400002772834264
dp_adhp,5211,ARC01,NAV CANADA,ARC01,48.35966311111111,-89.19033016666667,400002908408497
dp_adhp,5212,ARC01,NAV CANADA,ARC01,43.059418638888886,-81.25649713888889,400002951690796
dp_adhp,5213,ARC01,NAV CANADA,ARC01,43.52802861111111,-80.31809224999999,400002969588739
dp_adhp,5214,ARC01,NAV CANADA,ARC01,50.77893816666666,-120.64485711111112,400003173684985
dp_adhp,5215,ARC01,NAV CANADA,ARC01,43.59705408333333,-79.42979094444445,400003238035265
dp_adhp,5216,ARC01,NAV CANADA,ARC01,53.963913805555556,-122.77477866666666,400003420787526
dp_adhp,5217,ARC01,NAV CANADA,ARC01,54.304447999999994,-128.44744805555555,400003420787604
dp_adhp,5218,ARC01,NAV CANADA,ARC01,46.10565913888889,-64.84077991666666,400003599068920
dp_adhp,5219,ARC01,NAV CANADA,ARC01,45.278194972222224,-65.98417525,400003619253702
dp_adhp,5220,ARC01,NAV CANADA,ARC01,45.88321261111111,-66.64656988888889,400003629997398
dp_adhp,5221,ARC01,NAV CANADA,ARC01,46.14286602777778,-60.16256047222222,400003688904576
dp_adhp,5222,ARC01,NAV CANADA,ARC01,46.22360138888889,-63.07925577777778,400003688905076
