code_id,data_originator,adet,farkli_koordinat,tablolar,isimler
MAL,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,4,4,dp_other,"MALAMAWI,MALABON,MALAWIG POINT,MALOLOS FLYOVER"
MAN,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,4,4,dp_other,"MANICAHAN,MANGGAHAN FLOODWAY,MANGLET ISLAND,MANUKAN"
MIKE,DFS DEUTSCHE FLUGSICHERUNG GMBH,4,4,dp_other,"EDDC MIKE,EDLN MIKE,EDVE MIKE,EDDB MIKE"
N1,AUSTRO CONTROL GMBH,4,4,dp_other,"N1 (LOWK),NOVEMBER 1 (LOWI),N1 (LOIR),N1 (LOGG)"
ROMEO,DFS DEUTSCHE FLUGSICHERUNG GMBH,4,4,dp_other,"EDDF ROMEO 1,EDFM ROMEO,EDLN ROMEO,EDSB ROMEO"
RW06R,NAV CANADA,4,4,dp_adhp,RW06R
RW15,EUROCONTROL NMOC,4,4,dp_other,RW15
RW16,EUROCONTROL NMOC,4,4,dp_other,RW16
RW21,AIRWAYS CORPORATION OF NEW ZEALAND LTD,4,4,dp_adhp,RW21
RW27,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,4,4,dp_adhp,"RW27,RW27 MAPT"
RW33,EUROCONTROL NMOC,4,4,dp_other,RW33
RW34,EUROCONTROL NMOC,4,4,dp_other,RW34
RW35,EUROCONTROL NMOC,4,4,dp_other,RW35
SANDY,EUROCONTROL NMOC,4,4,dp_icao,SANDY
SILVA,EUROCONTROL NMOC,4,4,dp_icao,SILVA
W1,AUSTRO CONTROL GMBH,4,4,dp_other,"W1 (LOWK),WHISKEY 1 (LOWI),W1 (LOAU),W1 (LOGG)"
WHALE,EUROCONTROL NMOC,4,4,dp_icao,WHALE
AP1,BUNDESWEHR,3,3,dp_other,"NORTHSEA AP 1,LILLY AP 1,SANDRA AP1"
AP2,BUNDESWEHR,3,3,dp_other,"NORTHSEA AP 2,LILLY AP 2,SANDRA AP2"
ARC12,NAV CANADA,3,3,dp_adhp,ARC12
BARTN,EUROCONTROL NMOC,3,3,dp_icao,BARTN
BERTI,EUROCONTROL NMOC,3,3,dp_icao,BERTI
BIN,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,3,dp_other,"BINAHIAN PORT,BINAYAN,BINAKAYAN"
BUNNY,EUROCONTROL NMOC,3,3,dp_icao,BUNNY
CAL,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,3,dp_other,"CALABANGA,CALINAN,CALATONG"
CAROL,EUROCONTROL NMOC,3,3,dp_icao,CAROL
CEDAR,EUROCONTROL NMOC,3,3,dp_icao,CEDAR
COTON,EUROCONTROL NMOC,3,3,dp_icao,COTON
DAVID,EUROCONTROL NMOC,3,3,"dp_icao,dp_adhp",DAVID
DELTA,EUROCONTROL NMOC,3,3,dp_icao,DELTA
DRAKE,EUROCONTROL NMOC,3,3,dp_icao,DRAKE
DUFFY,EUROCONTROL NMOC,3,3,dp_icao,DUFFY
E1,AUSTRO CONTROL GMBH,3,3,dp_other,"E1 (LOWK),E1 (LOAU),ECHO 1 (LOGK)"
E2,AUSTRO CONTROL GMBH,3,3,dp_other,"E2 (LOWK),E2 (LOAU),ECHO 2 (LOGK)"
END08,MOLDAVIAN AIR TRAFFIC SERVICE PROVIDER (MOLDATSA),3,3,dp_other,"END IAP ILS CAT I/II RWY 08 LUKK,END IAP VOR RWY 08 LUKK,END IAP LOC RWY 08 LUKK"
END26,MOLDAVIAN AIR TRAFFIC SERVICE PROVIDER (MOLDATSA),3,3,dp_other,"END IAP VOR/DME RWY 26 LUKK,END IAP ILS CAT I RWY 26 LUKK,END IAP LOC RWY 26 LUKK"
F,AUSTRO CONTROL GMBH,3,3,dp_other,"FOXTROT (LOWI),F (LOAN),F (LOAB)"
F,DFS DEUTSCHE FLUGSICHERUNG GMBH,3,3,dp_other,"EDDM FOXTROT 1,EDDM FOXTROT 2,EDDN FOXTROT"
FAF09,BULATSA-BULGARIAN AIR TRAFFIC SERVICES AUTHORITY,3,3,dp_adhp,"LBWN FAF LOC RWY 09,LBWN FAF VOR RWY 09,LBGO FAF VOR RWY 09"
FAF27,BULATSA-BULGARIAN AIR TRAFFIC SERVICES AUTHORITY,3,3,dp_adhp,"LBSF FAF  ILS/LOC/VOR RWY 27,LBWN FAF VOR RWY27,LBGO FAF VOR RWY 27"
FARES,EUROCONTROL NMOC,3,3,dp_icao,FARES
FF21,NAV CANADA,3,3,dp_adhp,"YTS005022,YAS042005,GW010005"
FF32,NAV CANADA,3,3,dp_adhp,"YMO144005,YNA118005,YTL299005"
