tablo,fid,ident,data_originator,name,lat_dd,lon_dd
vortac,144,BIL,EUROCONTROL NMOC,BILLINGS,45.80855916666666,-108.6246475
dme,729,BIS,EUROCONTROL NMOC,BISSAU,11.92063611111111,-15.644841666666666
vor_dme,6,BIS,EUROCONTROL NMOC,BISKRA,34.77608611111111,5.763730555555555
vor_dme,2391,BIS,EUROCONTROL NMOC,BISSAU,11.92063611111111,-15.644841666666666
dme,1028,BJ,EUROCONTROL NMOC,BEJA,38.0916056,-7.9326778
dme,1139,BJ,EUROCONTROL NMOC,BELY,55.85416666666667,32.93888888888888
vor_dme,119,BJ,EUROCONTROL NMOC,BANJUL,13.338133333333333,-16.6555
dme,259,BJA,EUROCONTROL NMOC,BUJUMBURA,-3.3463392222222224,29.32202625
vor_dme,120,BJA,EUROCONTROL NMOC,BUJUMBURA,-3.3463392222222224,29.32202625
vor_dme,2246,BJA,EUROCONTROL NMOC,BEJAIA,36.71456944444445,5.080397222222222
dme,1450,BKY,EUROCONTROL NMOC,BARKWAY,51.98976944444445,0.061908333333333336
vor_dme,7,BKY,EUROCONTROL NMOC,BOUAKE,7.747288888888889,-5.074941666666667
vor_dme,2664,BKY,EUROCONTROL NMOC,BARKWAY,51.98976944444445,0.061908333333333336
dme,91,BL,EUROCONTROL NMOC,BRINGELAND,61.39052425,5.76018803
dme,1140,BL,EUROCONTROL NMOC,KHOROSHENKOYE,53.54555555555555,50.58527777777778
vor_dme,2522,BL,EUROCONTROL NMOC,BELGOROD,50.63688888888889,36.60852777777778
ils_dme,248,BLE,ENAIRE,,41.28247222222222,2.0781666666666667
ils_gp,307,BLE,ENAIRE,,41.28247222222222,2.0781666666666667
ils_loc,318,BLE,ENAIRE,,41.292944444444444,2.1054166666666667
ils_dme,232,BLT,ENAIRE,,41.290388888888884,2.0849722222222224
ils_gp,288,BLT,ENAIRE,,41.290388888888884,2.0849722222222224
ils_loc,299,BLT,ENAIRE,,41.31111111111111,2.0955000000000004
dme,461,BLT,EUROCONTROL NMOC,BALTIM,31.528888888888886,31.1225
vor_dme,122,BLT,EUROCONTROL NMOC,GBADOLITE,4.259682083333334,20.99762711111111
vor_dme,123,BLT,EUROCONTROL NMOC,BALTIM,31.528888888888886,31.1225
ils_dme,234,BLW,ENAIRE,,41.29013888888889,2.100611111111111
ils_gp,290,BLW,ENAIRE,,41.29013888888889,2.100611111111111
ils_loc,301,BLW,ENAIRE,,41.28158333333333,2.0722222222222224
ils_dme,58,BN,CIVIL AVIATION AUTHORITY ISRAEL,,32.016327777777775,34.89760277777778
ils_gp,77,BN,CIVIL AVIATION AUTHORITY ISRAEL,,32.016327777777775,34.89760277777778
ils_loc,78,BN,CIVIL AVIATION AUTHORITY ISRAEL,,31.994019444444444,34.88466388888889
dme,846,BNA,EUROCONTROL NMOC,BENINA,32.12444444444444,20.253611111111113
dme,1705,BNA,EUROCONTROL NMOC,BARCELONA,10.112444444444444,-64.69038888888889
vor_dme,124,BNA,EUROCONTROL NMOC,BENINA,32.12444444444444,20.253611111111113
vor_dme,541,BNA,EUROCONTROL NMOC,BANAK,70.17626383,24.94840217
vor_dme,1826,BNA,EUROCONTROL NMOC,BARCELONA,10.112444444444444,-64.69038888888889
dme,375,BND,EUROCONTROL NMOC,BREMEN,53.044049,8.78213928
dme,764,BND,EUROCONTROL NMOC,BANDAR ABBASS,27.197055555555554,56.36675
tacan,102,BND,EUROCONTROL NMOC,BANDAR ABBASS,27.21697222222222,56.381083333333336
vor_dme,1432,BND,EUROCONTROL NMOC,BANDUNG/HUSEIN SASTRANEGARA,-6.882083333333334,107.51233333333333
vor_dme,2021,BND,EUROCONTROL NMOC,BANDAR ABBASS,27.197055555555554,56.36675
vor_dme,40,BNE,SERVICE DE LINFORMATION AERONAUTIQUE,BOULOGNE,50.62478888888889,1.9071
vor_dme,806,BNE,SERVICE DE LINFORMATION AERONAUTIQUE,,13.73336111111111,-60.97705555555556
dme,1451,BNN,EUROCONTROL NMOC,BOVINGDON,51.72616388888889,-0.54975
vor_dme,542,BNN,EUROCONTROL NMOC,BOVINGDON,51.72616388888889,-0.54975
