ident,data_originator,type,adet,farkli_koordinat,tablolar,isimler
AN,EUROCONTROL NMOC,DME,2,2,dme,"ANNABA,ANDOYA"
AND,EUROCONTROL NMOC,DME,2,2,dme,"ANDAHUAYLAS,TEPLYY KLYUCH"
ANU,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"V.C. BIRD,ANAMBRA"
ARD,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"YARDLEY,ARADAH"
ARG,EUROCONTROL NMOC,VORTAC,2,2,vortac,"ARGYLE,WALNUT RIDGE"
ARI,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"NADOR / EL AROUI,ARICA"
AS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"AGADEZ / MANO DAYAK,ALICE SPRINGS"
AST,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"ASYUT,ASTRAKHAN"
AT,EUROCONTROL NMOC,DME,2,2,dme,"ALTA,ARTEMOVSKIY"
BA,EUROCONTROL NMOC,DME,2,2,dme,"BANAK,BAKCHAR"
BAL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BALMACEDA,B.A EL LIBERTADOR"
BAM,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BARMEN,BAM"
BAN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"SIDI BEN AOUN,BARNAUL/MIKHAYLOVKA"
BAR,EUROCONTROL NMOC,DME,2,2,dme,"BARI,BARUUN-URT"
BBI,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BELLARY,BERLIN-BRANDENBURG"
BBS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BENI ABBES,BHUBANESWAR"
BDA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BERMUDA,BIDA"
BDB,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BIR DARB,BODAYBO"
BDF,EUROCONTROL NMOC,VORTAC,2,2,vortac,"BARDUFOSS,BRADFORD"
BDR,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BAHIR DAR,BIDAR"
BEL,EUROCONTROL NMOC,DME,2,2,dme,"BELLA,BELFAST"
BEL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BELFAST,BELEM"
BEN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BENBECULA,BENIN"
BET,EUROCONTROL NMOC,VORTAC,2,2,vortac,"BETHEL,BETONG"
BGD,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BAGHDAD,BAGDOGRA"
BGR,EUROCONTROL NMOC,VORTAC,2,2,vortac,"BANGOR,BENGUERIR"
