ident,data_originator,adet,farkli_koordinat,tablolar,isimler
BIK,EUROCONTROL NMOC,3,2,"vor_dme,dme","BIAK/FRANS KAISIEPO,BIRNIN KEBBI"
BIS,EUROCONTROL NMOC,3,2,"vor_dme,dme","BISKRA,BISSAU"
BJ,EUROCONTROL NMOC,3,3,"vor_dme,dme","BANJUL,BEJA,BELY"
BJA,EUROCONTROL NMOC,3,2,"vor_dme,dme","BUJUMBURA,BEJAIA"
BKY,EUROCONTROL NMOC,3,2,"vor_dme,dme","BOUAKE,BARKWAY"
BL,EUROCONTROL NMOC,3,3,"vor_dme,dme","BELGOROD,BRINGELAND,KHOROSHENKOYE"
BLE,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
BLT,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
BLT,EUROCONTROL NMOC,3,2,"vor_dme,dme","GBADOLITE,BALTIM"
BLW,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
BN,CIVIL AVIATION AUTHORITY ISRAEL,3,2,"ils_loc,ils_gp,ils_dme",
BNS,EUROCONTROL NMOC,3,2,"vor_dme,dme","BARINAS,BENSLIMANE"
BPL,HUNGAROCONTROL,3,3,"ils_loc,ils_gp,ils_dme",
BPR,HUNGAROCONTROL,3,3,"ils_loc,ils_gp,ils_dme",
BRL,EUROCONTROL NMOC,3,2,"vor_dme,dme","BURLINGTON,BAREILLY"
BRN,EUROCONTROL NMOC,3,2,"vor_dme,dme","SIDI BARRANI,BIRJAND"
BSI,AIR TRAFFIC AND NAVIGATION SERVICES COMPANY LIMITED (ATNS),3,2,"ils_loc,ils_gp,ils_dme",
BSR,EUROCONTROL NMOC,3,2,"vortac,dme","BASRAH,BIG SUR"
BTG,EUROCONTROL NMOC,3,2,"vortac,dme","BATTLE GROUND,BATAGAY"
BTJ,SERBIA AND MONTENEGRO AIR TRAFFIC SERVICES SMATSA LLC,3,2,"ils_loc,ils_gp,ils_dme",
BUN,EUROCONTROL NMOC,3,2,"vor_dme,dme","BUNIA,BUENAVENTURA"
CA,SERVICE DE LINFORMATION AERONAUTIQUE,3,2,"ils_loc,ils_gp,ils_dme",
CAT,EUROCONTROL NMOC,3,2,"vor_dme,dme","EL SALVADOR,CATAMARCA"
CBL,EUROCONTROL NMOC,3,2,"vor_dme,dme","CIUDAD BOLIVAR,CASABLANCA / MOHAMMED V"
CEN,EUROCONTROL NMOC,3,2,"vor_dme,dme","OBREGON,CENCUN"
CGO,EUROCONTROL NMOC,3,2,"vor_dme,dme","XINZHENG,CONGONHAS"
CGT,EUROCONTROL NMOC,3,2,"vortac,dme","CHICAGO HEIGHTS,CHONGGU"
CHE,EUROCONTROL NMOC,3,2,"vor_dme,dme","CHITOSE,HAYDEN"
CHG,EUROCONTROL NMOC,3,2,"vor_dme,dme","CHAOYANG,CHANDIGARH"
CIA,EUROCONTROL NMOC,3,2,"vor_dme,dme","COCHIN,CUIABA"
CJS,EUROCONTROL NMOC,3,2,"vor_dme,dme","JUAREZ,CARAJAS"
CKG,EUROCONTROL NMOC,3,2,"vor_dme,dme","JAKARTA / SOEKARNO-HATTA,JIANGBEI"
CLA,EUROCONTROL NMOC,3,2,"vor_dme,dme","CHICLAYO,CHU LAI"
CMA,EUROCONTROL NMOC,3,2,"vor_dme,dme","CHIANG MAI,CANAIMA"
COL,EUROCONTROL NMOC,3,2,"vor_dme,dme","COLIMA,COLA"
CSL,EUROCONTROL NMOC,3,2,"vor_dme,dme","CASELLE,LUCAS"
CSN,EUROCONTROL NMOC,3,2,"vortac,dme","CASANOVA,CON SON"
CTB,EUROCONTROL NMOC,3,2,"vor_dme,dme","CURITIBA,CUT BANK"
CTG,EUROCONTROL NMOC,3,2,"vor_dme,dme","CHATTOGRAM,CARTAGENA"
CTI,AIR TRAFFIC AND NAVIGATION SERVICES COMPANY LIMITED (ATNS),3,2,"ils_loc,ils_gp,ils_dme",
CTR,EUROCONTROL NMOC,3,2,"vor_dme,dme","CHIANG RAI,CHESTER"
CUN,EUROCONTROL NMOC,3,2,"vor_dme,dme","CANCUN,YECHEON"
DBL,EUROCONTROL NMOC,3,2,"vor_dme,dme","DALIAN,RED TABLE"
DBN,EUROCONTROL NMOC,3,2,"vortac,dme","DUBLIN,DIEN BIEN"
DCN,HUNGAROCONTROL,3,3,"ils_loc,ils_gp,ils_dme",
DGO,EUROCONTROL NMOC,3,2,"vor_dme,dme","DURANGO,SANTO DOMINGO"
DGP,EUROCONTROL NMOC,3,2,"vor_dme,dme","DAUGAVPILS,DURGAPUR"
DHN,EUROCONTROL NMOC,3,2,"vor_dme,dme","DAHUSHAN,DEHNAMAK"
DIL,EUROCONTROL NMOC,3,2,"vor_dme,dme","TANDIL,DILI"
DOH,EUROCONTROL NMOC,3,2,"vor_dme,dme","DONG HOI,DOHA/HAMAD INTL"
DSH,EUROCONTROL NMOC,3,2,"vor_dme,dme","DANGSHAN,DASHOGUZ"
ELD,EUROCONTROL NMOC,3,2,"vor_dme,dme","EL DORADO,ELDORET"
